Food_Item,Scientific_Name,IFCT_Code,Calories_kcal,Protein_g,Fat_g,Carbohydrates_g,Fiber_g,Calcium_mg,Iron_mg,Vitamin_C_mg,Potassium_mg,health_benefits,intake_methods,Key_Vitamin,Key_Vitamin_Value,Key_Vitamin_Unit,Vitamin_Explanation
Cabbage (Green),Brassica oleracea var. capitata,D015,25,1.3,0.1,5.8,2.5,40.0,0.47,36.6,170.0,"Packed with glutamine and sulfur compounds; heals gastric mucous linings, protects against ulcers, and supports healthy gut integrity.","Shred raw for crunchy slaw/salads, steam into South Indian cabbage poriyal with grated coconut, or ferment into sauerkraut.",Vitamin K,76.0,µg,"Cabbage is exceptionally high in vitamin K, which is required for proper blood coagulation and bone structure."
Cucumber (Green),Cucumis sativus,D027,15,0.7,0.1,3.6,0.5,16.0,0.28,2.8,147.0,"Contains over 95% structured water, cucurbitacins, and silica; flushes excess sodium, relieves water retention, and rejuvenates skin.","Eat raw unpeeled slices sprinkled with rock salt and chaat masala, blend into hydrating coolers, or chop into raita.",Vitamin K,16.4,µg,"Cucumber with peel provides vitamin K along with hydrating electrolytes and silica for connective tissue."
Bottle Gourd / Sorakkai,Lagenaria siceraria,D010,14,0.6,0.1,3.4,1.2,26.0,0.2,10.1,150.0,"Extremely low calorie and highly alkaline with over 96% water; cools the digestive tract, assists weight management, and aids urinary flow.","Cook in comforting dal kootu, simmer into soothing bottle gourd soup, or make traditional mild lauki sabzi.",Vitamin C,10.1,mg,"Bottle gourd supplies vitamin C and B-complex traces in a deeply hydrating, low-calorie alkaline matrix."
Bitter Gourd / Pavakkai,Momordica charantia,D007,17,1.0,0.2,3.7,2.8,19.0,0.43,84.0,296.0,"Contains polypeptide-p and charantin; mimics insulin to accelerate cellular glucose uptake and regulates blood sugar levels effectively.","Sauté with onions and spices, shallow-fry thin crispy rings, or cook into spicy-tangy pavakkai pitlai / gravy.",Vitamin C,84.0,mg,"Bitter gourd is remarkably rich in vitamin C, containing more than most other gourds, along with charantin."
Ridge Gourd / Peerkangai,Luffa acutangula,D065,20,1.2,0.2,3.4,2.0,18.0,0.4,7.5,139.0,"Rich in cellulose fiber, moisture, and peptides; aids gentle bowel movement, relieves constipation, and soothes inflammatory heat.","Cook into traditional peerkangai kootu, stir-fry with moong dal, or blend ridge gourd peel into nutritious spicy thogayal.",Vitamin C,7.5,mg,"Ridge gourd provides dietary vitamin C and cellulose fiber to support gut motility and cooling hydration."
Pumpkin / Parangikkai,Cucurbita moschata,D055,26,1.0,0.1,6.5,1.1,21.0,0.8,9.0,340.0,"Dense in beta-carotene, lutein, and zeaxanthin; protects retinal macular pigment, boosts immunity, and promotes smooth skin texture.","Simmer cubes in sambar/mandi, purée into velvety spiced soup, roast with cinnamon, or prepare mild pumpkin halwa.",Vitamin A (Beta-Carotene),3100,µg,"Pumpkin is a premier source of beta-carotene (provitamin A), which supports optical health and immune vitality."
Drumstick / Moringa Pods,Moringa oleifera,D031,37,2.1,0.2,8.5,3.2,30.0,0.36,120.0,259.0,"High in bioavailable minerals, quercetin, and chlorogenic acid; strengthens bone matrix, purifies blood, and aids joint mobility.","Cook whole cut pods in traditional sambar, simmer in comforting drumstick-garlic soup, or prepare drumstick poriyal.",Vitamin C,120.0,mg,"Drumstick pods are exceptionally concentrated in vitamin C and bioavailable minerals for tissue building."
Green Peas (Fresh),Pisum sativum,D048,81,5.4,0.4,14.5,5.7,25.0,1.47,40.0,244.0,"Rich in plant protein, coumestrol polyphenol, and dietary fiber; fuels gut microbiome, promotes satiety, and aids muscle synthesis.","Steam and toss with mint and black pepper, add to vegetable pulao/upma, or blend into creamy pea soup and curries.",Vitamin B1 (Thiamine),0.26,mg,"Green peas are a notable vegetable source of thiamine (vitamin B1), essential for cellular carbohydrate metabolism."
French Beans,Phaseolus vulgaris,D033,31,1.8,0.2,7.0,2.7,37.0,1.03,12.2,211.0,"High in silicon, carotenoids, and folate; supports collagen formation in bones and joints, protects heart arteries, and stabilizes glucose.","Steam crisp-tender for poriyal with coconut, toss in warm olive oil and sesame salads, or sauté in mixed vegetable curries.",Vitamin K,14.4,µg,"French beans supply vitamin K and silicon, contributing to bone matrix density and vascular health."
Capsicum / Bell Pepper (Green),Capsicum annuum,D017,20,0.9,0.2,4.6,1.7,10.0,0.34,125.0,175.0,"Exceptionally concentrated in ascorbic acid (Vitamin C); accelerates collagen synthesis, boosts iron uptake, and enhances immune barrier.","Eat raw sliced in fresh garden salads, stir-fry in vegetable gravies and noodles, or stuff with spiced paneer/potatoes.",Vitamin C,125.0,mg,"Green capsicum is among the highest vegetable sources of vitamin C, providing robust antioxidant capacity."
